활동 종류,날짜,즐겨찾기,제목,거리,칼로리,시간,평균 심박,최대심박,유산소 훈련 효과,평균 수영 케이던스,최고 수영 케이던스,평균 페이스,최대 페이스,총 상승,총 하강,평균 보폭,평균 수직 비율,평균 수직 진동,평균 지면 접촉 시간,평균 GAP,평균 수영 케이던스,최고 수영 케이던스,Normalized Power® (NP®),Training Stress Score®,최대 평균파워(20분),평균 파워,최대 파워,총 스트로크,평균 Swolf,평균 스트로크 속도,걸음,총 반복 횟수,총 세트,바디 배터리 방전,최저 온도,감압,최고 랩 기록,랩 수,최고 온도,평균 응답,최소 응답,최대 응답,평균 스트레스,최대 스트레스,이동 시간,경과 시간,최저 해발,최고 해발
풀 수영,2026-04-14 07:10:18,false,"풀 수영","475","287","00:39:05","112","161","1.5","--","--","1:51","0:42","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","181","37","21","--","--","--","--","--","아니오","00:00:06.1","41","--","--","--","--","--","--","00:08:49.4","00:40:08","--","--"
근력 훈련,2026-04-13 18:08:39,false,"근력 훈련","0.00","134","00:48:00","78","126","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","16","8","1","-1","--","아니오","00:48:00","1","--","--","--","--","--","--","00:48:00","00:48:00","--","--"
트레드밀 러닝,2026-04-13 12:04:58,false,"트레드밀 러닝","7.02","351","00:36:44","132","151","2.1","176","190","5:14","4:43","--","--","1.08","8.0","8.7","247","--","--","--","303","0.0","--","301","338","--","--","--","6,470","--","--","-2","--","아니오","00:00:04.7","8","--","--","--","--","--","--","00:36:31","00:36:44","--","--"
도로 사이클링,2026-04-12 08:25:27,false,"도로 사이클링","37.95","934","01:05:54","153","167","4.1","--","--","34.6","40.4","33","36","--","--","--","--","--","86","104","--","0.0","--","--","--","5530","--","--","--","--","--","--","9.0","아니오","00:05:39.9","8","13.0","38","31","52","--","--","01:05:46","01:06:11","7","12"
멀티스포츠,2026-04-12 08:00:52,false,"멀티스포츠","53.55","1,887","02:19:15","--","177","5.0","--","--","23.1","--","79","76","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","아니오","--:--:--","5","--","--","--","--","--","--","--:--:--","02:19:15","--","13"
러닝,2026-04-11 08:41:24,false,"러닝","3.01","206","00:18:07","137","162","2.2","183","205","6:01","4:12","31","24","0.90","8.5","7.5","250","5:53","--","--","298","0.0","--","278","414","--","--","--","3,314","--","--","-3","--","아니오","00:00:02.5","4","--","29","20","37","--","--","00:18:00","00:18:07","34","56"
풀 수영,2026-04-09 07:11:41,false,"풀 수영","575","235","00:38:40","102","148","0.8","--","--","2:12","0:43","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","261","44","21","--","--","--","--","--","아니오","00:00:03.1","36","--","--","--","--","--","--","00:12:40","00:40:30","--","--"
근력 훈련,2026-04-08 18:23:42,false,"근력 훈련","0.00","135","00:42:52","82","115","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","42","21","1","-2","--","아니오","00:42:52","1","--","--","--","--","--","--","00:42:52","00:42:52","--","--"
스텝퍼,2026-04-08 05:35:27,false,"스텝퍼","0.00","174","00:42:25","91","100","0.3","123","165","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,744","--","--","-2","--","아니오","00:42:25","1","--","--","--","--","--","--","00:00:00","00:42:25","--","--"
풀 수영,2026-04-07 07:12:26,false,"풀 수영","675","227","00:36:55","103","142","0.8","--","--","2:12","0:52","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","324","45","22","--","--","--","--","--","아니오","00:00:05.7","39","--","--","--","--","--","--","00:14:54","00:38:52","--","--"
스텝퍼,2026-04-06 12:20:35,false,"스텝퍼","0.00","199","00:35:19","105","128","0.6","74","156","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,038","--","--","-1","--","아니오","00:35:19","1","--","--","--","--","--","--","00:00:00","00:35:19","--","--"
러닝,2026-04-05 09:46:43,false,"러닝","2.02","140","00:11:19","137","147","2.0","188","198","5:36","5:16","1","3","0.93","7.8","7.2","238","5:44","--","--","278","0.0","--","274","303","--","--","--","2,166","--","--","-2","--","아니오","00:00:05.7","3","--","39","22","47","--","--","00:11:09","00:11:26","15","20"
도로 사이클링,2026-04-05 08:50:50,false,"도로 사이클링","20.42","521","00:42:48","138","155","2.8","--","--","28.6","53.2","206","219","--","--","--","--","--","71","101","--","0.0","--","--","--","2828","--","--","--","--","--","--","12.0","아니오","00:00:48.3","5","15.0","31","18","39","--","--","00:42:39","00:45:35","9","52"
트레일 러닝,2026-04-04 09:08:12,false,"트레일 러닝","38.10","3,234","06:18:58","142","184","4.7","124","250","9:57","3:57","2,543","2,559","0.79","9.2","6.7","289","8:01","--","--","227","0.0","--","179","663","--","--","--","51,926","--","--","-27","--","아니오","00:02:13.4","39","--","--","--","--","--","--","05:57:25","06:20:32","412","1,138"
러닝,2026-04-04 08:49:22,false,"러닝","0.81","60","00:04:50.5","143","158","1.1","180","190","5:59","5:05","13","1","0.94","8.2","7.7","248","5:30","--","--","310","0.0","--","300","404","--","--","--","882","--","--","--","--","아니오","00:04:50.5","1","--","--","--","--","--","--","00:04:44","00:04:50.5","438","450"
풀 수영,2026-04-02 07:18:00,false,"풀 수영","450","256","00:31:49","116","148","1.5","--","--","2:28","1:18","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","216","49","19","--","--","--","--","--","아니오","00:00:03.7","34","--","--","--","--","--","--","00:11:08","00:31:56","--","--"
실내 자전거타기,2026-04-01 20:58:57,false,"실내 자전거타기","12.63","388","00:30:46","131","144","2.6","--","--","24.6","34.3","--","--","--","--","--","--","--","87","100","193","31.8","196","187","296","2649","--","--","--","--","--","--","21.0","아니오","00:30:46","1","23.0","33","17","43","--","--","00:30:32","00:30:46","--","--"
트레드밀 러닝,2026-04-01 11:51:32,false,"트레드밀 러닝","7.02","370","00:37:19","132","141","2.1","176","182","5:19","5:02","--","--","1.07","8.1","8.7","249","--","--","--","298","0.0","--","297","329","--","--","--","6,548","--","--","-5","--","아니오","00:00:06.5","8","--","--","--","--","--","--","00:37:04","00:37:42","--","--"
실내 자전거타기,2026-04-01 05:25:26,false,"실내 자전거타기","14.89","450","00:33:11","139","158","3.1","--","--","26.9","36.0","--","--","--","--","--","--","--","88","97","208","41.1","210","203","351","2934","--","--","--","--","--","--","21.0","아니오","00:33:11","1","23.0","34","17","43","--","--","00:33:06","00:33:11","--","--"
스텝퍼,2026-03-31 21:42:10,false,"스텝퍼","0.00","134","00:25:04","100","127","0.4","119","247","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,190","--","--","-1","--","아니오","00:25:04","1","--","--","--","--","--","--","00:00:00","00:25:04","--","--"
근력 훈련,2026-03-31 11:45:52,false,"근력 훈련","0.00","289","00:54:06","104","144","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","12","6","1","-2","--","아니오","00:54:06","1","--","--","--","--","--","--","00:54:06","00:54:06","--","--"
트레드밀 러닝,2026-03-31 07:25:49,false,"트레드밀 러닝","10.04","523","00:52:14","137","152","2.6","178","188","5:12","4:50","--","--","1.08","7.9","8.5","244","--","--","--","302","0.0","--","301","329","--","--","--","9,294","--","--","-7","--","아니오","00:00:10.8","11","--","--","--","--","--","--","00:51:56","00:53:20","--","--"
스텝퍼,2026-03-30 22:37:21,false,"스텝퍼","0.00","118","00:30:11","88","121","0.1","121","149","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,798","--","--","-1","--","아니오","00:30:11","1","--","--","--","--","--","--","00:00:00","00:30:11","--","--"
러닝,2026-03-29 04:58:54,false,"러닝","13.76","915","01:20:24","138","174","3.1","179","205","5:51","3:38","61","30","0.94","8.4","7.8","251","5:53","--","--","279","0.0","--","277","503","--","--","--","14,438","--","--","-11","--","아니오","00:03:32.6","14","--","--","--","--","--","--","01:19:55","01:44:22","5","29"
러닝,2026-03-28 11:09:21,false,"러닝","1.01","62","00:05:09.5","143","162","1.2","169","196","5:07","4:02","6","3","1.02","7.7","7.8","238","5:33","--","--","292","0.0","--","278","452","--","--","--","924","--","--","-2","--","아니오","00:00:03.0","2","--","--","--","--","--","--","00:05:01","00:06:37.6","29","36"
스텝퍼,2026-03-27 22:33:09,false,"스텝퍼","0.00","114","00:30:26","88","98","0.1","141","153","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,284","--","--","-2","--","아니오","00:30:26","1","--","--","--","--","--","--","00:00:00","00:30:26","--","--"
트레드밀 러닝,2026-03-27 18:13:36,false,"트레드밀 러닝","1.04","66","00:05:09.4","148","164","1.4","180","202","4:57","3:48","--","--","1.15","6.8","7.7","215","--","--","--","338","0.0","--","309","402","--","--","--","926","--","--","-1","--","아니오","00:00:10.7","2","--","--","--","--","--","--","00:04:39","00:05:09.4","--","--"
